chemin_original,hash_sha256,taille_octets,categorie,date_deplacement
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0474.jpeg",199df7fc5eeed39d64bdb483f3b015d8da66e7e81408a3b1b430b0da813d9448,3449950,divers,2026-02-08 20:23:25
/Users/nathalie/Dropbox/____BIG_BOFF___/PROJETS/PRO/SUBLYM_APP_PUB/Avatars/Claire48/Claire/output/dreams/claire_i_want_to_see_myself_in_africa_7b76db22/videos/scene_01.mp4,af58c6e321194789422b776fee79f4b20c04be4cafcf879d9bceb0619102f51c,3413899,avatars_sublym,2026-02-08 20:23:25
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0486.jpeg",a39cb70f793780b90cda020b24e56e48d7afaef4aee52afd8a3140dcf1460d76,3374476,divers,2026-02-08 20:23:25
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/BAS RELIEFS/lalchimiste._ANGRY_face_a66c9fc2-2da5-4761-b096-aba271e1f028.png,083a0968b6a68b271d7db73d4ed75a210a52f1c22a08065b71ea20ccab4ed937,2146519,divers,2026-02-08 20:23:25
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/DARK/lalchimiste._ANGRY_face_a66c9fc2-2da5-4761-b096-aba271e1f028 (1).png,083a0968b6a68b271d7db73d4ed75a210a52f1c22a08065b71ea20ccab4ed937,2146519,copies_conflit,2026-02-08 20:23:25
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/AMOR FATI/lalchimiste._oil_texturized_painting_of_feelings_ladder_abstrac_0d45e400-7595-4406-b36b-15d85719b0aa.png,5c41e2cfe70b02f223fa154404a0e7256dbcc1712022088e5168f4b7bdc19105,2140203,divers,2026-02-08 20:23:25
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/AMOR FATI copie/Amor Fati - 2.png,5c41e2cfe70b02f223fa154404a0e7256dbcc1712022088e5168f4b7bdc19105,2140203,divers,2026-02-08 20:23:25
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0496.jpeg",0b3d0ef6fd666fc2c61584204bd0c2d70b28a0f47a269ce11911849464518f72,3104729,divers,2026-02-08 20:23:25
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0482.jpeg",0704bd8ab0916f65f0da98f531308ef61c8cad7ff3f3bcf8bc5c1a04cd1ca893,2954264,divers,2026-02-08 20:23:25
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0483.jpeg",e77d04eff44368ed4f86bc53892ba76d36aeaf52715c46c4933ed061fcbb9021,2934813,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/AMOR FATI/11_lalchimiste._oil_texturized_painting_of_feelings_ladder_abstrac_bc34e10e-4c58-487b-9674-fbef94d83330.png,8d885307816e0a64cfcba7d324ef4d1965e7b87787b0b5c9359bc6690c470587,1870917,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/AMOR FATI copie/Amor Fati - 3.png,8d885307816e0a64cfcba7d324ef4d1965e7b87787b0b5c9359bc6690c470587,1870917,divers,2026-02-08 20:23:26
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0495.jpeg",d58e635b5122badb24b4e2caae3d568969625a11f08f6055a14ab942d2710e9e,2784495,divers,2026-02-08 20:23:26
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0485.jpeg",4df58ac8ca5aa1947545d0a261b56760af8762ae254be7791f1b3b22a8a5c5e1,2784451,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/AMOR FATI/1_lalchimiste._oil_texturized_painting_of_feelings_ladder_abstrac_0c2571aa-a0bd-4dfb-923d-40fa4d97b532.png,7188b257bf3b6a0d6211e29ba796ff25ed0f52e48a9ef3128728e7830975a88e,1854667,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/AMOR FATI copie/Amor Fati - 1.png,7188b257bf3b6a0d6211e29ba796ff25ed0f52e48a9ef3128728e7830975a88e,1854667,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_659657a0-31c4-4efd-92a3-7ba770f885a7 (1).png,0ce509e5f6a770cc3c6e26ece5d4d1764afd09f69e4ac81fc0253254117df6dc,1853949,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/SOLO/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_659657a0-31c4-4efd-92a3-7ba770f885a7 (1).png,0ce509e5f6a770cc3c6e26ece5d4d1764afd09f69e4ac81fc0253254117df6dc,1853949,copies_conflit,2026-02-08 20:23:26
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0497.jpeg",0e3abf9a4bcacd57fcdb94f1e8a4eff9b496d4bb81271e5abc35fd622fc81042,2719650,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/BAS RELIEFS/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_d90581c0-210f-432a-bad9-f41a3c3efd21 (2).png,28b64b607d4a3ffd80d62a715aeffae0adb861644f0fbf742e2ff27dbf179087,1808315,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/DUO/3_lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_d90581c0-210f-432a-bad9-f41a3c3efd21 (1).png,28b64b607d4a3ffd80d62a715aeffae0adb861644f0fbf742e2ff27dbf179087,1808315,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/BAS RELIEFS/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_baa7d59b-a32f-4f0a-a2b7-ed97dee5a74b.png,94454cdabe75c068003a005a84de3b1c91addc746bf1a398d89842142e9fe9bb,1776544,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_baa7d59b-a32f-4f0a-a2b7-ed97dee5a74b (1).png,94454cdabe75c068003a005a84de3b1c91addc746bf1a398d89842142e9fe9bb,1776544,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/26_Samedi/Rencontre Dario/IMG_0581 (1).mov,7d204e04f8d0a28a695109e90aa22d6ba362005277c7a598119cf0aad4d85064,2644862,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/PICASSO/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_8b52023c-6f90-4895-a666-520ceb6ba8b3 (1).png,675265d72a6fd50eb329d97c0110627ccd7ccbfaf63f1c83c55d99170ef42e81,1762155,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/SOLO/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_8b52023c-6f90-4895-a666-520ceb6ba8b3 (1).png,675265d72a6fd50eb329d97c0110627ccd7ccbfaf63f1c83c55d99170ef42e81,1762155,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_1b6fd1cc-0fe0-4fdc-8079-722ddcca1233 (1).png,5143a66b0cbefbb2378fe3fe94602400ce27e339677eadc4881bdd39ab385de3,1753334,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/MULTI/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_1b6fd1cc-0fe0-4fdc-8079-722ddcca1233 (1).png,5143a66b0cbefbb2378fe3fe94602400ce27e339677eadc4881bdd39ab385de3,1753334,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/ALIENS/Schizophreny.png,75d2a6c8d68c0d376956eae56035f194c20db8e4af975fdf8791db9c14548148,1747121,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/lalchimiste._texturized_oil_painting_of_A_series_of_robotic_fac_2707c32c-8577-46f2-ac3b-09fd021a551e (1).png,75d2a6c8d68c0d376956eae56035f194c20db8e4af975fdf8791db9c14548148,1747121,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_457a288f-07f9-403a-a06b-89ef25ff7022.png,ca08850b0e7518297686e109039815365124850abf605fceb72e7498e4b3689b,1728836,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/PICASSO/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_457a288f-07f9-403a-a06b-89ef25ff7022 (1).png,ca08850b0e7518297686e109039815365124850abf605fceb72e7498e4b3689b,1728836,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/DUO/01_lalchimiste._oil_painting_extreme_close_up_picasso_style_robots_3c34e97f-567c-40dc-b8eb-4680314caf73.png,dfb501c7dc0f696000f00672fcee2ac2f3ee806ae36c7bb5cc8cde1205040c99,1699087,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/BAS RELIEFS/lalchimiste._oil_painting_extreme_close_up_picasso_style_robots_3c34e97f-567c-40dc-b8eb-4680314caf73 (1).png,dfb501c7dc0f696000f00672fcee2ac2f3ee806ae36c7bb5cc8cde1205040c99,1699087,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/PROJETS/PRO/SUBLYM_APP_PUB/Avatars/Claire48/Claire/output/dreams/claire_i_want_to_see_myself_in_africa_7b76db22/videos/scene_02.mp4,db847c49b9108e85fc0b26de99edcb7f460a291a8fdb8b22523f09f9187f0874,2397535,avatars_sublym,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_88813715-77b4-4177-8998-9d3864d6c095 (1).png,5255b0255aac1a45ccb70e65512d5f729daceb536dc7dbf63474a6197d929bb3,1598220,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/MULTI/2_lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_88813715-77b4-4177-8998-9d3864d6c095 (1).png,5255b0255aac1a45ccb70e65512d5f729daceb536dc7dbf63474a6197d929bb3,1598220,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PHOTOS/2018-12-26 18.30.34.jpg,1175dec3bcdb9da26bee6e5a5207ca88619a64dab5df58bde2e5f4963f55092e,2308342,divers,2026-02-08 20:23:26
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0479.jpeg",7c3458553e3ca51af480730ecd0b41cc166bf12b3960921e2eb91628b8cb0626,2230457,divers,2026-02-08 20:23:26
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0481.jpeg",2bdd682b3b580454e2628ffe6eb7bb1c8455eb03ee0899a20b4b5bd9b22241ed,2104126,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/PROJETS/PRO/SUBLYM_APP_PUB/MOTIONARRAY/Living in a moment/Premiere Pro/Footages/Frame.png,a2939f6ed93f0441749d2d16bd1830ddbf684d29317598fad83a9100d974529a,1394037,motionarray,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/PROJETS/PRO/SUBLYM_APP_PUB/MOTIONARRAY/Living in a moment 2/Premiere Pro/Footages/Frame.png,a2939f6ed93f0441749d2d16bd1830ddbf684d29317598fad83a9100d974529a,1394037,motionarray,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/DARK/lalchimiste._FRIGHTENED_face_8a2b69f5-7de3-4c49-8c32-4516c20d5688 (1).png,f9dfb875edaf82dc58f181ed83ab1ea095c38622df3708da87c5defe3edc0937,2057079,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/LOUFOQUE/lalchimiste._FRIGHTENED_face_970181dd-07cf-4039-8bf5-28326bd3cf46 (1).png,417783544232fb2c692a5dda98b72f2d843fd79a09036c474d0ddef67d6538c9,2056057,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/PROJETS/PRO/SUBLYM_APP_PUB/Avatars/Claire48/Claire/output/dreams/claire_i_want_to_see_myself_in_africa_b9377646/videos/scene_01.mp4,50ec303961962fed015cea5692c264db63d8adf4229dc30272fae48ff3e6f26b,2055026,avatars_sublym,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/LOUFOQUE/lalchimiste._happy_face_b8ceec7f-7a31-477a-96c8-319496ad357f (1).png,7deddadb20fb82df0f1d9ad31c515fb70e79d35f091485e092daea42f0f5e91a,2053864,copies_conflit,2026-02-08 20:23:26
"/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/VIDEOS/VOYAGES/ROME/MEDIAS/23_Mercredi/Rome, 25 octobre 2024/IMG_0480.jpeg",d2899c75924262c281b31d0d01f9c51f133152f931796179f72f0d0322b6eff1,2032000,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/BASES TRAVAIL/lalchimiste._realistic_Oil_abstract_painting_in_the_style_of_pi_a5f1b8d5-24f9-49cc-861b-38dd611a4cca (1).png,cbe32f566943dc011ed6a3a9d79a54abc4dd14e574b07617640404469d90ed05,2025076,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/DALL·E 2023-01-12 12.32.52 - peinture d'un chat faisant la cuisine.png,de263b2d3a6f7ddcbe89803124ec7c4e98fbaafb95ecca8e12dcc20f6fb5d225,1985977,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/DARK/lalchimiste._FRIGHTENED_face_0bd44d8d-2929-4be2-b963-b476f9744de7 (1).png,ba363c93da3572a9d95cfa497eab7233940ae63ca19d765e287d8a685bc915ff,1975574,copies_conflit,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/AMOR FATI/2_lalchimiste._oil_texturized_painting_of_feelings_ladder_abstrac_203c11e5-f25e-4dfa-b5b0-51ebcc4f3f66.png,3042a4c5a0919bc8cd1385a9e4f693b9d591eca29507fd166600fa0e1a11a704,1944282,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/DALL·E 2023-01-12 13.07.18 - peinture de trois singes assis côteà côté le premier se bouche les oreilles le second se cache les yeux et le troisième se cache la bou.png,32fde2ba8d577d36d569307e479ff099f08092819490fd8742580be9982f9264,1873111,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/lalchimiste._oil_painting_extreme_close_up_picasso_style_robots_5547676d-2950-42b8-9d35-1dd5fe66d4b1.png,13a2c7738baa942e2e8d8e93dd3acb56e8f4dd9bef740178fea21170b56c3655,1870956,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/MULTI/lalchimiste._oil_painting_extreme_close_up_picasso_style_robots_6184e2f1-3efc-4189-9763-122b2e948cb3.png,7be372676676566bae88e9290da9a82bed51100d7a140e62d819c90480511ee7,1870244,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/lalchimiste._oil_painting_extreme_close_up_picasso_style_robots_bffa1749-b87e-4d21-af34-8c20776df80b.png,9cf53ee73e50a8c0060ab71c7ffb27ec17ecf925d294f150bc8669ee7f52bb26,1869364,divers,2026-02-08 20:23:26
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/DARK/lalchimiste._SAD_face_bb9ac43c-923a-4c55-a2c3-934603de065c (1).png,2139f051e1caf0f4c24e96f964a24846cab9c0a958914c4c44f8223fa8753d70,1817937,copies_conflit,2026-02-08 20:23:27
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/ETRE HUMAIN/lalchimiste._texturized_oil_painting_of_A_series_of_robotic_fac_d906cec4-c810-43af-8f88-7ad26df122c4 (1).png,ad59907839f0e59077e04c554aa8a5aab6af17300295248a3bb5217344510890,1792596,copies_conflit,2026-02-08 20:23:27
/Users/nathalie/Dropbox/____BIG_BOFF___/RESOURCES/MEDIAS/PORTFOLIO/PEINTURE NUMERIQUE/FEELINGS/A EXPOSER/DUO/2_lalchimiste._oil_painting_of_A_series_of_robotic_faces_each_rep_2320e589-7893-410a-a720-914f906f9a8b.png,000ce0f154cb66620a71e7212ca3c96f3b17aea18075747ed4ff98a05bdae051,1742149,divers,2026-02-08 20:23:27
